AirCode,AirName,City,State,fare14,fuel14,fare15,fuel15,fare16,fuel16,fare17,fuel17,fare18,fuel18,fare19,fuel19,fare20,fuel20,fare21,fuel21
TYR,Tyler Pounds Regional,Tyler,TX,600.48,2.788083333,640.5,1.626916667,651.05,1.315333333,526.98,1.633583333,560.83,2.115166667,296.82,1.969416667,263.56,1.217833333,253.68,1.925
LAW,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,640,2.788083333,647.38,1.626916667,625.9,1.315333333,677.12,1.633583333,687.78,2.115166667,579.22,1.969416667,424.53,1.217833333,461.91,1.925
HGR,Hagerstown Regional-Richard A. Henson Field,Hagerstown,MD,135.71,2.788083333,105.9,1.626916667,100.8,1.315333333,626.23,1.633583333,636.72,2.115166667,672.06,1.969416667,539.31,1.217833333,565.92,1.925
MQT,Marquette Sawyer Regional,Marquette,MI,704.5,2.788083333,705.9,1.626916667,708.57,1.315333333,154.01,1.633583333,176.54,2.115166667,595.92,1.969416667,485.22,1.217833333,521.88,1.925
VLD,Valdosta Regional,Valdosta,GA,789.17,2.788083333,758.93,1.626916667,748.01,1.315333333,700.05,1.633583333,662.1,2.115166667,568.33,1.969416667,454.1,1.217833333,451.81,1.925
TXK,Texarkana Regional-Webb Field,Texarkana,AR,594.39,2.788083333,628.05,1.626916667,623.86,1.315333333,721.12,1.633583333,756.23,2.115166667,174.57,1.969416667,129.44,1.217833333,138.31,1.925
GTR,Golden Triangle Regional,Columbus,MS,804.69,2.788083333,857.31,1.626916667,789.89,1.315333333,612.6,1.633583333,618.71,2.115166667,610.1,1.969416667,480.16,1.217833333,487.58,1.925
YKM,Yakima Air Terminal/McAllister Field,Yakima,WA,558.85,2.788083333,506.57,1.626916667,502.32,1.315333333,759.86,1.633583333,742.03,2.115166667,719.51,1.969416667,574.57,1.217833333,584.19,1.925
OME,Nome Airport,Nome,AK,649.34,2.788083333,650.3,1.626916667,626.15,1.315333333,511.04,1.633583333,511.6,2.115166667,604.6,1.969416667,478.78,1.217833333,518,1.925
DHN,Dothan Regional,Dothan,AL,866.79,2.788083333,922.71,1.626916667,881.96,1.315333333,615.95,1.633583333,618.89,2.115166667,698.83,1.969416667,577.23,1.217833333,569.22,1.925
EAT,Pangborn Memorial,Wenatchee,WA,521.54,2.788083333,481.33,1.626916667,471.68,1.315333333,927.94,1.633583333,817.53,2.115166667,515.91,1.969416667,445.28,1.217833333,448.57,1.925
ABY,Southwest Georgia Regional,Albany,GA,784.72,2.788083333,742.54,1.626916667,719.39,1.315333333,455.38,1.633583333,468.88,2.115166667,623.09,1.969416667,594.59,1.217833333,577.15,1.925
OTZ,Ralph Wien Memorial,Kotzebue,AK,664.46,2.788083333,627.14,1.626916667,603.35,1.315333333,684.49,1.633583333,689.29,2.115166667,754.02,1.969416667,609.81,1.217833333,642.96,1.925
FLO,Florence Regional,Florence,SC,538.68,2.788083333,538.96,1.626916667,515.28,1.315333333,567.89,1.633583333,558.27,2.115166667,497.43,1.969416667,397.86,1.217833333,427.61,1.925
ALW,Walla Walla Regional,Walla Walla,WA,470.67,2.788083333,451.52,1.626916667,439.82,1.315333333,552.39,1.633583333,512.71,2.115166667,687.61,1.969416667,500.07,1.217833333,530.39,1.925
PGV,Pitt Greenville,Greenville,NC,574.21,2.788083333,580.98,1.626916667,568.71,1.315333333,437.8,1.633583333,435.99,2.115166667,511.55,1.969416667,551.75,1.217833333,536.83,1.925
GCK,Garden City Regional,Garden City,KS,604.55,2.788083333,573.25,1.626916667,555.86,1.315333333,542.87,1.633583333,507.27,2.115166667,497.01,1.969416667,444.94,1.217833333,387.66,1.925
BRW,Wiley Post/Will Rogers Memorial,Barrow,AK,716.57,2.788083333,636.16,1.626916667,602.39,1.315333333,574.82,1.633583333,557.46,2.115166667,442.31,1.969416667,378.18,1.217833333,400.45,1.925
SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,576.72,2.788083333,579.25,1.626916667,542.61,1.315333333,574.26,1.633583333,603.88,2.115166667,509.23,1.969416667,418.39,1.217833333,411.76,1.925
COD,Yellowstone Regional,Cody,WY,610.03,2.788083333,676.82,1.626916667,604.3,1.315333333,541.25,1.633583333,546.99,2.115166667,568.06,1.969416667,415.83,1.217833333,425.07,1.925
SPN,Francisco C. Ada Saipan International,Saipan,TT,1001.58,2.788083333,1254.97,1.626916667,1727.11,1.315333333,640.19,1.633583333,476.77,2.115166667,578.82,1.969416667,537.07,1.217833333,508.78,1.925
BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,524.64,2.788083333,534.41,1.626916667,538.84,1.315333333,1394.9,1.633583333,612.49,2.115166667,545.81,1.969416667,433.7,1.217833333,456.72,1.925
STC,St. Cloud Regional,St. Cloud,MN,255.04,2.788083333,183.54,1.626916667,551.85,1.315333333,527.21,1.633583333,649.37,2.115166667,498.27,1.969416667,417.69,1.217833333,423.45,1.925
BJI,Bemidji Regional,Bemidji,MN,530.08,2.788083333,768.15,1.626916667,144.37,1.315333333,540.77,1.633583333,569.2,2.115166667,618.34,1.969416667,505.65,1.217833333,523.87,1.925
